,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income form 10 to 40,household income form 40 to 75,household income 75 and above,house value for 20 to 100,house value for 100 to 500,house value 500 or more,rent bewteen 300 and 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value for 20 to 100_n,house value for 100 to 500_n,house value 500 or more_n,rent bewteen 300 and 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n
Drinking Water,2.2093194741894716e-09,2.6253904923300351e-10,-1.1082412442317034e-09,3.0314030506702291e-09,5.7575773635463587e-10,3.6112704023312992e-10,2.5398392002438836e-10,6.6932346263304516e-10,-1.1586664659896508e-09,2.4235737445774734e-09,-3.704593464150691e-10,2.1073847191310895e-09,1.0278322955789486e-10,2.2369868107144576e-09,-5.1831322658205157e-09,2.5532915328627418e-09,5.4221715353967049e-10,7.4236229776858912e-10,4.6580280327319125e-09,-5.3605804019074729e-10,1.8602824808092865e-08,3.0898667680685917e-09,-1.6106568781277458e-10,7.2602550247440413e-10,7.297891272075971e-09,5.4812535174446809e-09,1.8251699040731413e-09,1.8427977966872326e-09,1.6156292116453381e-09,4.3695714621377087e-10,2.8395154950308328e-09,,,,-3.2448260474157355e-10,4.4187360704286105e-10,9.601901435565873e-10,5.6081537125179714e-09,-4.8828942640377179e-08,,,4.0311742771458012e-09,7.4486315138588456e-09,-3.4853988490786227e-08,1.0014014223249519e-07,,,,-3.2019935046335257e-09,1.0644320352587859e-08,-2.8487234071102693e-07,6.5147371796900323e-09,-6.9670402139208773e-09,-2.497611432220109e-10,1.6303921244888686e-08,9.9197558608633837e-11,-1.9364657935845968e-09,2.1860746670447628e-10,8.5810308681383705e-10,-1.8630393327424556e-09,-3.2492368875556427e-09
EAP Inspection - F59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0157181608623398e-07,-3.5882344171755567e-07,7.2817147308389516e-07,2.1503869584204467e-08,-7.8786161926922028e-08,-3.4693422394755073e-08,-1.0697241037032671e-08,7.6920344159704639e-07,-3.7353904684396249e-08,7.7586747902458615e-08,-7.1977846612774638e-08,-2.9170224584200797e-07,1.0539750222589638e-06,-1.9690611019775655e-06,,7.6889244157004597e-09,1.2267231537183391e-08,9.3941522200113382e-08,-2.264104057899228e-07,-2.0195198029407872e-06,1.7465329899809809e-07,-3.2033515496642496e-07,6.27419423125488e-08,-2.756013140476679e-07,-3.4686699499869729e-09,5.7508941596857889e-08,-5.4232904642448579e-08,1.2140877059765649e-08,8.076420790285552e-08,4.4039508161988311e-07
ELECTRIC,3.0498229247793535e-07,1.3215538748412987e-07,-1.7380015989523783e-10,-2.8617575233731873e-07,2.1209985934089271e-08,1.2033832211204198e-07,-4.1604844444487928e-08,1.3660076902013718e-07,-6.4834633060338276e-08,3.2628484658540049e-07,-4.6554666069968728e-08,4.1936002241963912e-07,-6.6649144347057056e-08,-4.1382665166970268e-08,5.6641625531863853e-07,-8.880208230555755e-08,2.7560885869538345e-07,-6.436858305483285e-07,8.1426580347258067e-07,3.0772305417522287e-07,-3.1645808991090283e-05,7.2441434373296899e-07,5.634401908369479e-08,-1.5142775124310954e-07,1.9338229445370877e-06,5.0935092750936847e-07,4.64836236880269e-08,4.2779942436254766e-07,3.0319257415840974e-07,-2.4920932792743854e-07,-2.5028221540525056e-07,,,,-1.5182366000564249e-07,1.3506102113123538e-07,-1.29445321780161e-07,7.1859393628171555e-07,-3.9270560603817886e-06,,,,,,,,,,,,,1.1217052824400159e-06,-1.2378012457202003e-06,-3.6546004690559396e-08,,,,,,,
ELEVATOR,4.2760073874479772e-09,-1.3122542504926253e-09,5.9443238926809215e-09,-5.3799761811202063e-09,8.2441886236514286e-10,7.087817664023556e-10,5.4160828661893108e-11,4.9691477153839659e-09,9.5320939121797952e-09,1.2775209370810743e-08,-3.9300080722040948e-09,1.2313439459068662e-08,1.1831054382685269e-09,-2.1218665415943349e-10,-2.849391306275372e-09,-2.6092404543463102e-09,7.8208952681041512e-09,-1.6493542921870781e-09,2.0993759762526186e-08,4.0392310149309697e-09,-4.8316778937267092e-07,1.2417778855182812e-08,1.3904881496121912e-08,-4.2617636244421617e-09,,,,3.294607425705203e-09,1.4996743441300366e-08,-6.9987726909625876e-09,-3.8849819557660458e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrical,-2.4346458691964446e-09,2.7761708159937364e-08,8.3270009823850526e-09,-1.6489071079860366e-08,7.8081655319858709e-09,6.0323189892643088e-09,2.8314785165038068e-09,6.4838059415734852e-09,7.7703868736832733e-08,2.8267101490699944e-08,1.2845123271843986e-08,1.9815028101713481e-08,4.8802390593535151e-08,6.3654902120748899e-09,-2.44608939632822e-07,2.426144405485804e-08,2.090116182341907e-08,-5.2607540491322509e-08,9.8485295030229954e-08,7.5260688330085425e-09,2.3417635778786972e-06,3.5194755589442389e-08,2.3932203354476976e-08,1.5219787826968095e-08,1.1958602360303238e-07,5.4253571270264486e-08,5.2482512853320391e-08,2.7850549087849447e-08,3.1485024608872589e-08,2.6710382800256339e-08,4.1660421533988372e-08,-9.6347829331795073e-08,2.3485978201328431e-07,-4.9846540241533799e-07,-4.0930037961151034e-08,9.2686781085503179e-09,2.6408201740991081e-08,8.7856905837599604e-09,5.3992248691584543e-07,2.8960116463792672e-08,-3.6091789907385089e-08,3.3265850954929003e-08,5.5907169848316126e-07,-1.4202371072058527e-06,2.1165873560457615e-06,,,,-8.1555879786048352e-08,2.274801723784061e-07,-2.2650929935863878e-06,1.8668548714433693e-08,2.9693853542872261e-08,-2.111143061919845e-08,3.697585477983775e-08,2.4737741964215479e-08,-2.2412179275866518e-08,-1.3057768927715554e-08,2.8839909945902173e-08,-4.0841727047094203e-08,-1.7532110613471879e-07
Elevator,3.0291296166812152e-08,5.6777292124153821e-08,-4.1654607793528498e-09,-1.4215752472617796e-09,9.8378270727818565e-09,1.1956768794234008e-08,-8.5007216695396762e-09,4.1275342234391937e-08,1.5450505579830095e-07,6.7406433316158089e-08,3.3496106801469852e-08,8.4774848908834252e-08,3.2260451092839153e-08,8.6876849814836549e-09,2.4466660105159671e-08,-4.72036446415621e-08,9.3754998594999645e-08,8.0544371826603193e-08,-8.9012045823732799e-08,7.6062395978287293e-08,-1.3105368159194663e-05,2.8984752892220871e-07,-1.8476481796696839e-07,2.456641674157983e-08,6.1723730297482734e-07,1.1612637666259482e-07,6.9761519012674778e-08,1.1962355519476785e-07,7.44952519722344e-08,9.6684744602625296e-09,3.644547722256333e-08,,,,-5.7052282280274359e-08,-1.7736316359086723e-08,2.4321889316225595e-08,2.6020455918899749e-07,-1.1798436050516125e-06,,,1.2835625214940473e-07,9.9997878786278477e-07,-3.0737029141847651e-06,6.6893631304618936e-06,,-1.0827593808296338e-07,7.9055849396094283e-08,-4.2548466868323982e-07,9.7214476834074204e-07,-2.1935133727903689e-05,3.9894161022084517e-07,-4.766619928581293e-07,6.6673249164388403e-09,1.3023252151083943e-06,-7.8584776114009146e-08,-7.9418812603490392e-08,1.8119821657682218e-07,-5.7885893361423905e-08,-6.2332747300151884e-08,-9.9957801929398716e-08
Emergency Response Team (ERT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOORING/STAIRS,2.1575354827996375e-07,1.5647700219891082e-07,-3.935897039250919e-08,-2.2757072302355699e-07,1.1809800315430292e-08,6.6900940006881261e-08,-5.4221006429402527e-08,1.2601817555661453e-07,-7.0746921205551334e-08,2.0934430605471261e-07,-9.3441359893955358e-09,2.909493341678947e-07,-5.344454394352515e-08,-9.109359375181505e-08,8.1577773942178632e-07,-1.5958792244210402e-07,2.3376203626387614e-07,-1.3106803042506815e-07,1.0235298715158459e-07,2.4537434259015724e-07,-2.6942578381482608e-05,7.7009353234110957e-07,-3.5765454643484898e-07,-7.2283193193112419e-08,,,,3.5049412857949193e-07,1.9773610800309007e-07,-1.9095117333625728e-07,-1.8671324123332935e-07,,,,-8.8023104482398604e-08,5.6439177919637409e-08,-1.3895961680305834e-07,6.7887200527511414e-07,-4.1963011104871049e-06,,,,,,,,,,,,,1.0702415093453007e-06,-1.2943622103024284e-06,1.510850700552615e-08,3.308002890176949e-06,-2.0435209933336815e-07,-2.1407919268585664e-07,,,,
Fire Alarm - Addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Alarm - Modification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Alarm - New System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Alarm - Reinspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.087109014716377e-08,3.8315695914616061e-08,-6.7222765125950557e-08,-4.142167362302086e-09,8.3708442557484455e-11,7.5832039380032296e-09,7.4655583083090775e-09,3.457606056882991e-09,4.8694549077797345e-09,-4.8117163835592717e-09,7.9459454649545607e-09,2.3324188196536649e-08,-6.1510428187627066e-08,7.7384636005106514e-08,,-6.6300482028550992e-11,1.7098117180776702e-09,-1.101984454969547e-09,2.1120372103475093e-08,-1.2526983770438686e-07,-9.6892638309124439e-09,2.4083669380390423e-08,-4.7417905822349958e-09,9.4889251238380953e-09,5.0847461429574106e-09,-3.9759248064080767e-09,-3.1715102814011207e-09,5.7474009746653493e-09,-5.4305095898982098e-09,-3.1055143322954775e-08
Fire Alarm - Replacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Safety Director - F58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9331933511679297e-07,-1.0928804039836946e-06,2.2858477801075722e-06,6.2173482193284605e-08,-2.7550165353910027e-07,-8.8215951270621423e-08,2.269379420410614e-08,2.210173909807605e-06,-1.175785091778222e-07,2.5184720901602174e-07,-2.2705486567870291e-07,-8.8751424274178208e-07,3.3373187043338016e-06,-6.5420284400429395e-06,,3.6324388385596489e-08,3.6145579121223656e-08,2.6403573400984047e-07,-6.2318036809030182e-07,-9.4464788799685782e-06,5.3945787073997512e-07,-9.8344428161528091e-07,1.9526797882874974e-07,-6.5910026117194966e-07,-2.1326599545919402e-08,1.7094865032035226e-07,-1.8894988993878332e-07,5.1867536328407706e-08,2.5861513715233703e-07,1.427003381878486e-06
Food Establishment,-8.7372274518922199e-08,1.2587689864640465e-07,-2.3748638312732532e-08,8.3219250319530493e-08,2.9259797355808501e-08,8.1056789194770513e-09,2.1807608401934928e-08,8.0260558100765949e-09,3.0396321118853674e-08,-1.2846662688475658e-09,1.1459372973605322e-07,-2.6492153266372631e-08,1.6830395109936512e-07,1.1257015921642926e-07,-1.0137494139605162e-06,4.9500901243449047e-08,5.0716933000325021e-08,-2.2298200972321392e-07,3.2408409795195827e-07,-1.3134796644404772e-08,4.2643695268087318e-06,1.7467057940693212e-07,-2.4489714221823352e-07,1.3929186106696804e-07,3.2439050222895214e-07,3.4426131440239517e-08,1.8938389105252681e-07,5.3882427031424717e-08,3.1027737573857493e-08,1.9531902119135668e-07,2.7701016856231811e-07,-4.3588109501687839e-08,2.3654553867215174e-07,-5.606459742868928e-07,-5.3072672949489949e-08,-2.9378771005054349e-08,1.777663647694271e-07,9.7076714279371938e-08,-1.5072118125595712e-07,3.1704921891554716e-08,-1.8156730703976059e-08,-1.1137608339232061e-08,1.4178227267769946e-06,-3.2212346988398502e-06,4.1714084756363961e-06,,-2.9545507278771394e-08,4.0243504275230975e-08,-1.1974678824581779e-07,3.3175602130021576e-07,-3.4570150976375292e-06,5.5460075786595442e-08,2.5919116880399354e-09,-1.8626906461358188e-08,2.3300228480068972e-07,8.3265892145725257e-09,-1.287430719235773e-08,-1.912535268244493e-08,4.4608151246996478e-08,-2.9814498048271148e-08,-1.5903051689867478e-07
Food Poisoning,-3.6640860858249528e-08,5.0225121717852777e-08,-1.0498229183533844e-08,3.3965131447662364e-08,,,,,,-6.5947926254860837e-09,4.9982043781314931e-08,-1.2741088922602882e-08,5.2997202715852431e-08,6.8724050548908872e-08,-4.0220815751358973e-07,,,-8.8392361890897052e-08,1.2398530695585546e-07,-7.8957823782106798e-09,1.1070103116735536e-06,7.8879451883906815e-08,-1.2602985086522534e-07,6.1210032320747277e-08,,,,2.1434202770031574e-08,6.0620360469957609e-09,8.4444826222363e-08,1.2242116498535909e-07,3.0887151453441204e-08,3.3085436363943152e-08,-1.3461095512483482e-07,-1.7531104571546294e-08,-2.756321716208657e-08,3.4074848124390544e-08,4.3427039841761416e-08,1.3511663145764673e-07,3.487256547258553e-09,7.7697337666751867e-09,-1.4549015777655704e-08,4.6859405135339503e-07,-1.0255466175549982e-06,1.3254637262444103e-06,,-1.7471695629500836e-08,2.0895018190257479e-08,-4.7176005170901606e-08,1.1151623424335776e-07,-1.7134784203658084e-06,4.5847086276357795e-08,-4.7534740404524372e-08,2.7424297576509007e-09,1.3390140169549992e-07,-7.8855073242607726e-09,1.5847144587801977e-09,-2.8240772568969873e-09,1.0344858378400597e-08,2.9451109232855063e-09,4.888797996638927e-09
For Hire Vehicle Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Hire Vehicle Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found Property,-2.2784418896255172e-08,1.4960649028085381e-08,3.3567017565698737e-11,1.0343582938123035e-08,2.4719934743254819e-09,-1.2786291852680606e-09,3.8093567052523958e-09,-1.3990410708144205e-09,3.5030760500132385e-08,-1.0519332608888429e-08,1.8730083757196288e-08,-1.061816763681451e-08,1.7444959096568713e-08,1.8798962572646371e-08,-1.1866252497083779e-07,9.0019841230346309e-09,3.6822072569104838e-09,-8.4197008999413935e-09,1.3652438003400688e-08,-6.2467046514009435e-09,6.0004216743538461e-07,2.9184206601692307e-08,-5.7454207468727164e-08,2.0804574189921393e-08,8.3573845999867812e-08,-1.080939538639743e-08,2.2852926530532749e-08,2.3448792220999429e-09,-3.3451455777180142e-09,2.7302069878758041e-08,4.202177124182972e-08,3.495510254122361e-08,-4.5486244563416147e-08,7.3199598144264049e-08,-3.9855273593328381e-09,-1.4395202068958956e-08,2.2338253814651251e-09,1.0099692749374445e-08,1.1357997972421306e-07,-3.8360074064033369e-09,8.8568188622447898e-09,-6.6323162758761809e-09,7.4484691677351587e-08,-1.6209488227240428e-07,2.8615319788259569e-07,,-7.057930694748158e-09,6.9988230991200537e-09,-1.4823498993914068e-08,2.2654652962106167e-08,-6.7739575763854725e-07,1.9729414326736544e-08,-3.1279217562300352e-08,5.1349638038182353e-09,2.6409871782190102e-08,-6.9750083928422943e-09,6.0111401254663566e-09,-3.120297811842671e-09,1.1437824379577015e-09,7.2145131978303796e-09,3.2876258759680311e-08
GENERAL,1.7463122391496108e-07,2.1716198316906641e-07,-4.1326046035149826e-08,-1.9672472620288871e-07,2.2436124857876325e-08,8.1956233318903836e-08,-4.5553147769722637e-08,1.3524337798968725e-07,-5.5840873053768056e-08,2.2042601015330539e-07,4.5663802122647248e-08,3.0450799464874925e-07,3.5723923486474436e-08,-1.336696779332078e-07,7.0398971525209079e-07,-1.5633191437993423e-07,2.7652801464076152e-07,-3.6500757498307004e-07,3.8347707094033072e-07,2.7667009002083178e-07,-2.6146573215455855e-05,8.0290007159905147e-07,-3.0250407703859128e-07,-5.1024755597279678e-08,2.0730431234308468e-06,2.5308303736964734e-07,1.2846592440358274e-07,4.0500580091567619e-07,2.3133433721945774e-07,-1.3812516091468809e-07,-1.3674882075309706e-07,,,,-1.4648894231144921e-07,4.0353921962251805e-08,-9.67373832811118e-08,7.5468545099873073e-07,-3.8396578261456269e-06,,,4.3562132005999963e-07,2.7295691940343742e-06,-8.8685317943977978e-06,2.0206295088104596e-05,,,,-1.2498141138744541e-06,2.8112331788500083e-06,-5.4135006119375239e-05,1.0834419790835797e-06,-1.2494458342275006e-06,-9.2103336995233222e-09,3.8612689762818958e-06,-2.3640517161371475e-07,-2.4659192491214885e-07,,,,-6.7265467467763043e-07
GENERAL CONSTRUCTION,1.9478236499517202e-07,9.2549486807929942e-08,-3.3910270163165827e-08,-1.5721007095210231e-07,1.0961249152507435e-08,6.2338135041232994e-08,-3.0653935091264247e-08,8.3653089704813316e-08,-1.0848291436597322e-07,1.7402382588854545e-07,-2.7460410448061362e-08,2.3225623434981819e-07,-6.3930555100971481e-08,-2.8351899066989433e-08,5.0239944497928014e-07,-9.7460468016322382e-08,1.6576147888511506e-07,-3.4617792259293219e-07,4.0292446594675367e-07,1.7556147870137995e-07,-2.1792276997765339e-05,5.6618637579856752e-07,-2.4453322761389574e-07,-5.8901932805330066e-08,,,,2.4245888285985055e-07,1.6122845174046661e-07,-1.5046878985912246e-07,-1.2251886150680219e-07,,,,-3.6597500001083872e-08,8.1137311670022196e-08,-1.1671283625396243e-07,4.7630337776488427e-07,-3.5313768909757947e-06,,,,,,,,,,,,,,,,,,,,,,
Gas Station Discharge Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Construction/Plumbing,-1.0142985822803444e-07,1.8744322440411842e-07,1.102842011314149e-07,-1.2830260166695371e-07,7.0036110746459386e-08,2.5419451161118318e-08,3.6877923608836377e-08,2.9186155447292947e-08,5.3657276706356312e-07,1.5300244853128714e-07,1.4648322606658783e-07,5.8942335946654362e-08,4.139431724328686e-07,1.474184840057822e-07,-2.2405834618002096e-06,2.3811414279049598e-07,1.1626231914229505e-07,-3.3095027512063488e-07,6.7707597111259209e-07,3.6699529983051605e-09,2.3411757960413654e-05,1.920738816758592e-07,4.9506233444782207e-08,2.148236081295255e-07,7.2316811090941085e-07,2.9696530323716054e-07,4.9109126040735604e-07,1.2277283921904935e-07,2.0283017437679116e-07,3.3268684162847661e-07,4.2856319903681362e-07,-6.941106270740678e-07,1.7450314778597736e-06,-3.7444557457192663e-06,-2.8596369507264489e-07,4.4254520403771561e-08,2.3778978731512843e-07,3.5459514696666016e-08,3.9756759555087898e-06,2.0601119527825426e-07,-2.5256454216676172e-07,1.5754780096713446e-07,4.3681149217054802e-06,-1.0558958746112963e-05,1.4020431681934024e-05,,-3.2100749661348535e-08,5.7843418655522105e-08,-3.7676129549022819e-07,1.2131137658037726e-06,-4.197615627665963e-06,-1.4407019703061714e-07,6.1641539399483975e-07,-1.8336995843248966e-07,-1.1759631427520528e-07,2.0793438369153263e-07,-1.3801479666936719e-07,-2.270782019873172e-07,2.7723587294961655e-07,-2.8921557515091584e-07,-1.3513609814952497e-06
Graffiti,4.2337083666507198e-08,1.6408111086660399e-07,-1.1170776740676793e-08,-1.3346986020134562e-07,2.4920989743489967e-08,1.8367218945818884e-08,4.135952746151946e-08,5.9117660331940696e-08,-3.6404141975831449e-08,1.3225906205205619e-07,2.4550524910960668e-08,8.1003285245340462e-08,3.0398387692942303e-07,-2.3687362277108333e-07,-8.0023756103757318e-07,-4.4682573677901561e-10,1.2419258291312809e-07,3.5819821959454123e-07,-3.6060657265736205e-07,6.1640563614595439e-08,2.0856483037426625e-05,2.7897704440392995e-07,2.2313223240844724e-08,3.8670810447018662e-11,8.6549145560320227e-07,1.252973733268285e-07,1.8710895786420677e-07,1.3314794031689106e-07,1.5903184343700524e-07,1.1938891290029442e-08,2.3073328327604656e-08,,,,-1.3756979189813115e-07,9.9475407180893908e-08,5.838992091951706e-07,3.9323761740284355e-07,-4.2974422607307498e-06,1.6096113611917735e-07,-2.1914961251355038e-07,1.1398290290037761e-07,3.7071810954872193e-06,-8.9986885974944165e-06,1.1757040539582915e-05,,,,-5.5734619035653861e-07,1.382038805983618e-06,-9.3832162280607469e-06,5.2304695467007122e-07,-4.4264052367470128e-07,-7.5477272878499416e-08,1.6291847404530675e-06,-5.0728128359286975e-08,-1.4267534516546525e-07,2.4722231773341692e-07,-1.6135884214086627e-08,-2.3515088258286588e-07,-1.1530545243671278e-06
HEAT/HOT WATER,9.4983977232720381e-07,9.6565234322280773e-07,-2.3073114317834654e-07,-7.4637107752986037e-07,1.2187156984178509e-07,3.4543621140175055e-07,-2.1197863105557635e-07,7.4030509461228346e-07,-4.7368733571474061e-07,1.1576222467001692e-06,1.7819078535428164e-07,1.6108395232049682e-06,-5.7364269923952068e-08,-5.6342424243979246e-07,4.8790901487433992e-06,-8.0640085455641673e-07,1.4081787196578025e-06,2.7926185459866714e-07,-4.8962000136038855e-07,1.3332553982360876e-06,-0.00013596739226124572,3.9745424402386206e-06,-1.2710429037075216e-06,-3.3746330927436635e-07,1.1976967210143135e-05,1.1678123600809946e-06,6.0483872082517756e-07,1.711403097534493e-06,1.4571496398419007e-06,-8.4936386202720549e-07,-6.3078873878209895e-07,,,,-6.9767722451036771e-07,4.0979058435939308e-08,-3.6339352172040124e-07,4.4222867415990887e-06,-2.5175748997680828e-05,,,2.4120318725892422e-06,1.2869575064669955e-05,-4.3899648412778265e-05,0.0001055919053697027,,,,-6.4841469050035572e-06,1.4629274193015256e-05,-0.00030164250777066056,6.2870522029991299e-06,-7.4896335821568251e-06,4.9801167235719694e-08,2.2108555827826696e-05,-1.4354458085283355e-06,-1.347899312481724e-06,,,,-2.7927259974359871e-06
HEATING,7.8692801278101775e-07,6.0802683158533541e-07,-1.3146850117789567e-07,-5.9428330027007535e-07,7.0285208874568014e-08,2.7490188154373613e-07,-1.5926159178699844e-07,5.6165595378997072e-07,-4.6556846027023197e-07,9.2234059745834978e-07,2.9946656826857198e-08,1.27505927597414e-06,-2.6009805307233088e-07,-1.5911852220144227e-07,3.3894615278454229e-06,-6.5325286099545393e-07,1.0550121802883101e-06,2.9580803543329676e-07,-5.452233335648161e-07,1.0790652929341815e-06,-0.00012035815671635286,2.7590394541308382e-06,-3.9038657427650464e-07,-4.5230271204659082e-07,1.1558276890406603e-05,6.7699556677239859e-07,3.1171805609868768e-07,1.3019187663986724e-06,1.1113852023425087e-06,-8.2169669786785481e-07,-7.2643147481438975e-07,,,,-4.579400642877515e-07,1.5772991063071557e-07,-1.9648124925690525e-07,3.1615704286821722e-06,-1.9976960440413557e-05,,,,,,,,,,,,,,,,1.6238000332257418e-05,-1.0530082337125731e-06,-9.9981756863991172e-07,,,,
Harboring Bees/Wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazardous Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazmat Storage/Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Sign - Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Sign - Dangling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Sign - Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homeless Encampment,-5.6378357213480561e-08,9.2406616405034716e-08,-3.3190774191731456e-08,4.6651554503472258e-08,,,,,,-3.0566389627720962e-08,8.5331441223828347e-08,-2.9723169320507935e-08,1.206842812051291e-07,-7.6990153117722309e-08,-5.9363549498803574e-08,,,-2.5362707938952977e-07,3.0036327290501308e-07,-1.0833777647282875e-08,1.7705006648254316e-06,1.1122392160949192e-07,-2.1530063538576631e-07,9.4686837639630508e-08,,,,3.4847736416687804e-08,-1.482861907065936e-08,1.3736616473209645e-07,1.8277886111530728e-07,1.2989425454400308e-07,1.4166647437023553e-08,-2.8586536334085052e-07,-1.4773052361541494e-08,-2.9678979511713422e-08,-1.8352753562628324e-08,5.5425810548235009e-08,2.4240841471265845e-07,-5.3214469633878218e-09,2.1129023376308797e-08,-2.1530578444385324e-08,9.46165830495526e-07,-2.3194918096702494e-06,3.9891939404105597e-06,,-5.5366994453886357e-08,4.5671299811424647e-08,-1.2096290142422293e-07,2.0952331969247983e-07,-4.8279313083165562e-07,6.3720276245866374e-08,-7.4593455935499789e-08,5.6642630452124049e-09,3.2202981917230144e-07,-4.0277293296543636e-08,8.7284234294876072e-09,6.7747433425658792e-08,-2.9928917889895706e-08,1.2873274278299693e-08,-5.1980323906388993e-08
Homeless Person Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.754129103040835e-08,-5.6108850811356186e-08,1.1678060760614794e-08,-8.1361711077045596e-11,-1.1067798580586884e-08,-3.0555292514267833e-08,2.2088862568221593e-08,1.7720966643872473e-07,-4.5058982417977504e-09,1.6914888932938394e-08,7.8144534581247428e-09,2.2280331578084086e-07,-6.2318131616029083e-07,1.500589779909995e-06,,-2.6994558045158178e-08,2.5099757499719321e-08,-6.6138695519161567e-08,1.197293591102834e-07,-1.1670836738608184e-06,2.5988379383195206e-08,-3.010801007295298e-08,4.4277978409574875e-09,1.8965123762458504e-07,-2.3902356844763282e-08,7.4048274284453884e-09,2.7335428107409128e-08,-1.1087665797144965e-08,1.2094474999383788e-08,9.0353545427733275e-09
Illegal Animal Kept as Pet,2.1244891939695751e-09,-5.7465665928626469e-10,2.9628169097299096e-10,2.5984684564333558e-09,8.4276933191148731e-10,6.0118046862002494e-10,1.9678806363134056e-10,1.1640221590904045e-09,-9.2364414642318253e-10,4.3812326041001517e-09,-1.619222086373284e-09,3.4598567428927367e-09,1.5232157209299632e-09,2.873833070587589e-10,-9.7751547647114324e-09,4.8102280502738816e-09,6.5355846607627267e-10,-1.0328464283744788e-08,1.9480266644557201e-08,3.9731342456744255e-11,-3.1671982641486342e-08,1.6420108164834756e-09,6.5448718700986887e-09,-3.2798488404771063e-10,6.937531597597828e-09,8.1957707556486559e-09,3.6392699229869401e-09,2.3291239653947907e-09,3.6443871675417384e-09,-1.4683911663299553e-09,1.8375027657537639e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illegal Animal Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illegal Fireworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illegal Parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
